Aerodynamic Coefficients for H140 Hexacopter

Cruise speed: 15.00 m/s
Altitude: 0.00 m
Notes:
*Reference area and reference length equal to 1.0
*Control surfaces in neutral (untrimmed) positions
*Hinges and actuators in neutral position
*Non-potential-flow solutions do not account for induced flows, significantly over-estimating performance

Angle of Attack [deg]	CFx	CFy	CFz	CMx	CMy	CMz	Cl	Cd	Potential Flow Solution? (0=No, 1=Yes)
-25.000000	  0.000000	 -0.242313	 -0.086771	 -0.021825	  0.000000	  0.000000	  0.023765	  0.256281	  0.000000
-24.750000	  0.000000	 -0.243051	 -0.085879	 -0.021917	  0.000000	 -0.000000	  0.023765	  0.256679	  0.000000
-24.500000	  0.000000	 -0.243781	 -0.084988	 -0.022009	  0.000000	  0.000000	  0.023759	  0.257076	  0.000000
-24.250000	 -0.000000	 -0.244506	 -0.084097	 -0.022100	 -0.000000	  0.000000	  0.023747	  0.257472	  0.000000
-24.000000	 -0.000000	 -0.245225	 -0.083206	 -0.022190	  0.000000	 -0.000000	  0.023729	  0.257867	  0.000000
-23.750000	  0.000000	 -0.245937	 -0.082315	 -0.022280	 -0.000000	 -0.000000	  0.023706	  0.258261	  0.000000
-23.500000	 -0.000000	 -0.246643	 -0.081424	 -0.022369	  0.000000	 -0.000000	  0.023678	  0.258655	  0.000000
-23.250000	  0.000000	 -0.247343	 -0.080534	 -0.022457	  0.000000	 -0.000000	  0.023643	  0.259047	  0.000000
-23.000000	  0.000000	 -0.248036	 -0.079643	 -0.022544	  0.000000	  0.000000	  0.023603	  0.259438	  0.000000
-22.750000	  0.000000	 -0.248723	 -0.078753	 -0.022631	 -0.000000	  0.000000	  0.023558	  0.259828	  0.000000
-22.500000	  0.000000	 -0.249404	 -0.077863	 -0.022717	  0.000000	 -0.000000	  0.023506	  0.260216	  0.000000
-22.250000	  0.000000	 -0.250078	 -0.076974	 -0.022802	  0.000000	  0.000000	  0.023449	  0.260603	  0.000000
-22.000000	  0.000000	 -0.250746	 -0.076084	 -0.022887	  0.000000	 -0.000000	  0.023387	  0.260989	  0.000000
-21.750000	 -0.000000	 -0.251407	 -0.075195	 -0.022971	  0.000000	  0.000000	  0.023319	  0.261373	  0.000000
-21.500000	  0.000000	 -0.252062	 -0.074307	 -0.023054	 -0.000000	  0.000000	  0.023245	  0.261756	  0.000000
-21.250000	 -0.000000	 -0.252709	 -0.073418	 -0.023136	  0.000000	 -0.000000	  0.023165	  0.262137	  0.000000
-21.000000	 -0.000000	 -0.253351	 -0.072530	 -0.023217	  0.000000	 -0.000000	  0.023080	  0.262516	  0.000000
-20.750000	  0.000000	 -0.253985	 -0.071643	 -0.023298	 -0.000000	  0.000000	  0.022989	  0.262893	  0.000000
-20.500000	  0.000000	 -0.254613	 -0.070756	 -0.023378	  0.000000	 -0.000000	  0.022893	  0.263268	  0.000000
-20.250000	  0.000000	 -0.255235	 -0.069869	 -0.023457	 -0.000000	  0.000000	  0.022791	  0.263642	  0.000000
-20.000000	  0.000000	 -0.255849	 -0.068982	 -0.023535	  0.000000	 -0.000000	  0.022683	  0.264013	  0.000000
-19.750000	  0.000000	 -0.256457	 -0.068097	 -0.023612	  0.000000	 -0.000000	  0.022570	  0.264382	  0.000000
-19.500000	 -0.000000	 -0.257057	 -0.067211	 -0.023689	  0.000000	 -0.000000	  0.022451	  0.264748	  0.000000
-19.250000	  0.000000	 -0.257651	 -0.066326	 -0.023765	 -0.000000	 -0.000000	  0.022327	  0.265113	  0.000000
-19.000000	  0.000000	 -0.258238	 -0.065442	 -0.023840	 -0.000000	 -0.000000	  0.022198	  0.265475	  0.000000
-18.750000	 -0.000000	 -0.258818	 -0.064558	 -0.023914	  0.000000	  0.000000	  0.022062	  0.265834	  0.000000
-18.500000	  0.000000	 -0.259391	 -0.063675	 -0.023987	  0.000000	 -0.000000	  0.021922	  0.266191	  0.000000
-18.250000	  0.000000	 -0.259957	 -0.062792	 -0.024060	  0.000000	 -0.000000	  0.021776	  0.266546	  0.000000
-18.000000	  0.000000	 -0.260516	 -0.061910	 -0.024131	  0.000000	 -0.000000	  0.021624	  0.266897	  0.000000
-17.750000	  0.000000	 -0.261069	 -0.061028	 -0.024202	  0.000000	 -0.000000	  0.021468	  0.267246	  0.000000
-17.500000	  0.000000	 -0.261613	 -0.060147	 -0.024272	  0.000000	 -0.000000	  0.021305	  0.267592	  0.000000
-17.250000	  0.000000	 -0.262151	 -0.059267	 -0.024341	  0.000000	 -0.000000	  0.021138	  0.267935	  0.000000
-17.000000	  0.000000	 -0.262682	 -0.058387	 -0.024409	 -0.000000	 -0.000000	  0.020965	  0.268275	  0.000000
-16.750000	  0.000000	 -0.263205	 -0.057508	 -0.024476	 -0.000000	 -0.000000	  0.020787	  0.268611	  0.000000
-16.500000	  0.000000	 -0.263722	 -0.056629	 -0.024542	 -0.000000	  0.000000	  0.020604	  0.268945	  0.000000
-16.250000	 -0.000000	 -0.264231	 -0.055751	 -0.024608	  0.000000	 -0.000000	  0.020416	  0.269275	  0.000000
-16.000000	  0.000000	 -0.264733	 -0.054874	 -0.024672	 -0.000000	 -0.000000	  0.020222	  0.269603	  0.000000
-15.750000	 -0.000000	 -0.265227	 -0.053997	 -0.024736	  0.000000	 -0.000000	  0.020024	  0.269926	  0.000000
-15.499999	  0.000000	 -0.265714	 -0.053121	 -0.024799	  0.000000	  0.000000	  0.019820	  0.270246	  0.000000
-15.250001	  0.000000	 -0.266194	 -0.052246	 -0.024860	  0.000000	 -0.000000	  0.019611	  0.270563	  0.000000
-15.000001	  0.000000	 -0.266667	 -0.051371	 -0.024921	 -0.000000	 -0.000000	  0.019398	  0.270876	  0.000000
-14.750000	  0.000000	 -0.267132	 -0.050497	 -0.024981	  0.000000	 -0.000000	  0.019179	  0.271186	  0.000000
-14.500000	  0.000000	 -0.267590	 -0.049624	 -0.025040	  0.000000	  0.000000	  0.018956	  0.271492	  0.000000
-14.250000	  0.000000	 -0.268041	 -0.048751	 -0.025098	  0.000000	 -0.000000	  0.018728	  0.271794	  0.000000
-14.000000	  0.000000	 -0.268484	 -0.047879	 -0.025156	 -0.000000	  0.000000	  0.018495	  0.272092	  0.000000
-13.750000	  0.000000	 -0.268919	 -0.047008	 -0.025212	  0.000000	 -0.000000	  0.018257	  0.272386	  0.000000
-13.500000	  0.000000	 -0.269347	 -0.046138	 -0.025267	 -0.000000	  0.000000	  0.018015	  0.272676	  0.000000
-13.250000	  0.000000	 -0.269768	 -0.045268	 -0.025321	 -0.000000	 -0.000000	  0.017768	  0.272962	  0.000000
-13.000000	  0.000000	 -0.270181	 -0.044399	 -0.025375	  0.000000	 -0.000000	  0.017516	  0.273244	  0.000000
-12.750000	  0.000000	 -0.270586	 -0.043531	 -0.025427	  0.000000	  0.000000	  0.017260	  0.273521	  0.000000
-12.500000	 -0.000000	 -0.270984	 -0.042663	 -0.025478	  0.000000	  0.000000	  0.017000	  0.273795	  0.000000
-12.250000	  0.000000	 -0.271375	 -0.041796	 -0.025529	  0.000000	 -0.000000	  0.016735	  0.274064	  0.000000
-12.000000	 -0.000000	 -0.271758	 -0.040930	 -0.025578	  0.000000	 -0.000000	  0.016466	  0.274329	  0.000000
-11.750000	  0.000000	 -0.272133	 -0.040064	 -0.025627	 -0.000000	 -0.000000	  0.016193	  0.274589	  0.000000
-11.500000	  0.000000	 -0.272500	 -0.039199	 -0.025674	  0.000000	 -0.000000	  0.015915	  0.274845	  0.000000
-11.250000	  0.000000	 -0.272860	 -0.038335	 -0.025721	 -0.000000	  0.000000	  0.015634	  0.275096	  0.000000
-11.000000	  0.000000	 -0.273212	 -0.037472	 -0.025766	  0.000000	 -0.000000	  0.015348	  0.275343	  0.000000
-10.750000	  0.000000	 -0.273557	 -0.036609	 -0.025811	  0.000000	 -0.000000	  0.015058	  0.275585	  0.000000
-10.500000	  0.000000	 -0.273894	 -0.035747	 -0.025854	  0.000000	  0.000000	  0.014765	  0.275822	  0.000000
-10.250000	  0.000000	 -0.274223	 -0.034885	 -0.025896	  0.000000	 -0.000000	  0.014468	  0.276054	  0.000000
-10.000000	  0.000000	 -0.274544	 -0.034025	 -0.025938	  0.000000	  0.000000	  0.014166	  0.276282	  0.000000
 -9.750000	  0.000000	 -0.274858	 -0.033165	 -0.025978	 -0.000000	 -0.000000	  0.013862	  0.276504	  0.000000
 -9.500000	  0.000000	 -0.275164	 -0.032305	 -0.026018	  0.000000	 -0.000000	  0.013553	  0.276722	  0.000000
 -9.250000	  0.000000	 -0.275462	 -0.031446	 -0.026056	  0.000000	  0.000000	  0.013241	  0.276935	  0.000000
 -9.000000	  0.000000	 -0.275753	 -0.030588	 -0.026094	  0.000000	 -0.000000	  0.012926	  0.277143	  0.000000
 -8.750000	 -0.000000	 -0.276035	 -0.029731	 -0.026130	  0.000000	 -0.000000	  0.012607	  0.277345	  0.000000
 -8.500000	  0.000000	 -0.276310	 -0.028874	 -0.026165	  0.000000	  0.000000	  0.012285	  0.277543	  0.000000
 -8.250000	  0.000000	 -0.276577	 -0.028017	 -0.026200	  0.000000	 -0.000000	  0.011959	  0.277735	  0.000000
 -8.000000	 -0.000000	 -0.276836	 -0.027162	 -0.026233	  0.000000	 -0.000000	  0.011631	  0.277922	  0.000000
 -7.750000	  0.000000	 -0.277087	 -0.026306	 -0.026265	 -0.000000	 -0.000000	  0.011299	  0.278104	  0.000000
 -7.500000	  0.000000	 -0.277331	 -0.025452	 -0.026296	  0.000000	 -0.000000	  0.010965	  0.278280	  0.000000
 -7.250000	  0.000000	 -0.277566	 -0.024598	 -0.026326	  0.000000	  0.000000	  0.010627	  0.278451	  0.000000
 -7.000000	  0.000000	 -0.277794	 -0.023744	 -0.026356	  0.000000	  0.000000	  0.010287	  0.278617	  0.000000
 -6.750000	 -0.000000	 -0.278014	 -0.022891	 -0.026384	  0.000000	  0.000000	  0.009944	  0.278777	  0.000000
 -6.500000	  0.000000	 -0.278226	 -0.022039	 -0.026411	  0.000000	 -0.000000	  0.009599	  0.278932	  0.000000
 -6.250000	  0.000000	 -0.278429	 -0.021187	 -0.026437	  0.000000	 -0.000000	  0.009251	  0.279081	  0.000000
 -6.000000	  0.000000	 -0.278626	 -0.020336	 -0.026461	 -0.000000	 -0.000000	  0.008900	  0.279225	  0.000000
 -5.750000	  0.000000	 -0.278814	 -0.019485	 -0.026485	  0.000000	 -0.000000	  0.008547	  0.279363	  0.000000
 -5.500000	  0.000000	 -0.278994	 -0.018634	 -0.026508	  0.000000	  0.000000	  0.008192	  0.279495	  0.000000
 -5.250000	  0.000000	 -0.279166	 -0.017784	 -0.026530	  0.000000	  0.000000	  0.007835	  0.279622	  0.000000
 -5.000000	  0.000000	 -0.279330	 -0.016934	 -0.026550	 -0.000000	  0.000000	  0.007475	  0.279743	  0.000000
 -4.750000	  0.000000	 -0.279487	 -0.016085	 -0.026570	  0.000000	 -0.000000	  0.007114	  0.279859	  0.000000
 -4.500000	  0.000000	 -0.279635	 -0.015236	 -0.026588	 -0.000000	  0.000000	  0.006751	  0.279969	  0.000000
 -4.250000	 -0.000000	 -0.279776	 -0.014388	 -0.026606	  0.000000	 -0.000000	  0.006386	  0.280072	  0.000000
 -4.000000	  0.000000	 -0.279908	 -0.013540	 -0.026622	  0.000000	  0.000000	  0.006019	  0.280171	  0.000000
 -3.750000	  0.000000	 -0.280032	 -0.012692	 -0.026637	 -0.000000	 -0.000000	  0.005650	  0.280263	  0.000000
 -3.500000	  0.000000	 -0.280149	 -0.011844	 -0.026652	 -0.000000	  0.000000	  0.005281	  0.280349	  0.000000
 -3.250000	  0.000000	 -0.280257	 -0.010997	 -0.026665	  0.000000	  0.000000	  0.004909	  0.280430	  0.000000
 -3.000000	  0.000000	 -0.280358	 -0.010150	 -0.026677	 -0.000000	 -0.000000	  0.004537	  0.280505	  0.000000
 -2.750000	 -0.000000	 -0.280450	 -0.009303	 -0.026688	 -0.000000	  0.000000	  0.004163	  0.280574	  0.000000
 -2.500000	  0.000000	 -0.280535	 -0.008457	 -0.026698	  0.000000	  0.000000	  0.003788	  0.280636	  0.000000
 -2.250000	  0.000000	 -0.280611	 -0.007610	 -0.026707	  0.000000	 -0.000000	  0.003412	  0.280693	  0.000000
 -2.000000	  0.000000	 -0.280679	 -0.006764	 -0.026714	 -0.000000	  0.000000	  0.003035	  0.280744	  0.000000
 -1.750000	  0.000000	 -0.280740	 -0.005918	 -0.026721	 -0.000000	  0.000000	  0.002658	  0.280789	  0.000000
 -1.500000	  0.000000	 -0.280792	 -0.005073	 -0.026727	 -0.000000	 -0.000000	  0.002279	  0.280829	  0.000000
 -1.250000	  0.000000	 -0.280836	 -0.004227	 -0.026731	 -0.000000	 -0.000000	  0.001900	  0.280862	  0.000000
 -1.000000	  0.000000	 -0.280872	 -0.003382	 -0.026734	 -0.000000	 -0.000000	  0.001521	  0.280889	  0.000000
