Aerodynamic Coefficients for Wingquad 6 Manual

Cruise speed: 15.00 m/s
Altitude: 0.00 m
Notes:
*Reference area and reference length equal to 1.0
*Control surfaces in neutral (untrimmed) positions
*Hinges and actuators in neutral position
*Non-potential-flow solutions do not account for induced flows, significantly over-estimating performance

Angle of Attack [deg]	CFx	CFy	CFz	CMx	CMy	CMz	Cl	Cd	Potential Flow Solution? (0=No, 1=Yes)
-25.000000	  0.000012	 -0.100834	 -0.737217	  0.122787	  0.000268	  0.000026	 -0.625531	  0.402948	  1.000000
-24.750000	  0.000007	 -0.100315	 -0.726563	  0.121174	 -0.000106	 -0.000037	 -0.617826	  0.395283	  1.000000
-24.500000	  0.000003	 -0.099803	 -0.716699	  0.120202	 -0.000006	  0.000011	 -0.610780	  0.388027	  1.000000
-24.250000	 -0.000009	 -0.099895	 -0.704779	  0.117652	  0.000281	  0.000141	 -0.601561	  0.380547	  1.000000
-24.000000	 -0.000008	 -0.099519	 -0.694448	  0.116261	  0.000296	  0.000143	 -0.593932	  0.373373	  1.000000
-23.750000	 -0.000008	 -0.099184	 -0.684104	  0.114844	  0.000311	  0.000146	 -0.586222	  0.366305	  1.000000
-23.500000	 -0.000008	 -0.098871	 -0.673752	  0.113407	  0.000327	  0.000148	 -0.578446	  0.359329	  1.000000
-23.250000	 -0.000008	 -0.098641	 -0.663364	  0.111929	  0.000344	  0.000150	 -0.570555	  0.352489	  1.000000
-23.000000	 -0.000009	 -0.098590	 -0.652937	  0.110401	  0.000377	  0.000158	 -0.562509	  0.345875	  1.000000
-22.750000	 -0.000007	 -0.098892	 -0.641894	  0.108375	  0.000266	  0.000126	 -0.553712	  0.339426	  1.000000
-22.500000	 -0.000008	 -0.099448	 -0.631355	  0.106749	  0.000378	  0.000152	 -0.545239	  0.333487	  1.000000
-22.250000	 -0.000008	 -0.100058	 -0.620469	  0.104840	  0.000382	  0.000155	 -0.536382	  0.327547	  1.000000
-22.000000	 -0.000008	 -0.100700	 -0.609583	  0.102874	  0.000378	  0.000155	 -0.527473	  0.321721	  1.000000
-21.750000	 -0.000008	 -0.101369	 -0.598676	  0.100870	  0.000373	  0.000155	 -0.518493	  0.315996	  1.000000
-21.500000	 -0.000008	 -0.102187	 -0.587712	  0.098786	  0.000371	  0.000153	 -0.509365	  0.310474	  1.000000
-21.250000	 -0.000008	 -0.103293	 -0.576658	  0.096575	  0.000370	  0.000150	 -0.500013	  0.305273	  1.000000
-21.000000	 -0.000008	 -0.104860	 -0.565479	  0.094174	  0.000368	  0.000148	 -0.490342	  0.300545	  1.000000
-20.750000	 -0.000008	 -0.106353	 -0.554307	  0.091776	  0.000365	  0.000147	 -0.480672	  0.295840	  1.000000
-20.500000	 -0.000008	 -0.107771	 -0.543188	  0.089386	  0.000361	  0.000147	 -0.471047	  0.291175	  1.000000
-20.250000	 -0.000008	 -0.109034	 -0.532281	  0.087044	  0.000359	  0.000145	 -0.461643	  0.286526	  1.000000
-20.000000	 -0.000008	 -0.110158	 -0.521617	  0.084723	  0.000354	  0.000142	 -0.452483	  0.281918	  1.000000
-19.750000	 -0.000008	 -0.111202	 -0.511278	  0.082427	  0.000348	  0.000137	 -0.443626	  0.277431	  1.000000
-19.500000	 -0.000008	 -0.112103	 -0.501388	  0.080188	  0.000342	  0.000132	 -0.435208	  0.273040	  1.000000
-19.250000	 -0.000007	 -0.112860	 -0.491661	  0.078024	  0.000318	  0.000119	 -0.426963	  0.268646	  1.000000
-19.000000	 -0.000004	 -0.113475	 -0.482210	  0.076045	  0.000223	  0.000087	 -0.418994	  0.264284	  1.000000
-18.750000	  0.000005	 -0.113746	 -0.473491	  0.074525	  0.000002	  0.000003	 -0.411801	  0.259908	  1.000000
-18.500000	  0.000005	 -0.114016	 -0.464411	  0.072537	  0.000002	  0.000003	 -0.404234	  0.255484	  1.000000
-18.250000	  0.000005	 -0.113755	 -0.456251	  0.070820	  0.000002	  0.000003	 -0.397677	  0.250915	  1.000000
-18.000000	  0.000005	 -0.112972	 -0.448986	  0.069348	  0.000002	  0.000003	 -0.392101	  0.246187	  1.000000
-17.750000	  0.000005	 -0.112145	 -0.441776	  0.067891	  0.000002	  0.000003	 -0.386556	  0.241488	  1.000000
-17.500000	  0.000005	 -0.111366	 -0.434575	  0.066440	  0.000002	  0.000003	 -0.380973	  0.236891	  1.000000
-17.250000	  0.000005	 -0.110197	 -0.428655	  0.065054	  0.000002	  0.000003	 -0.376696	  0.232354	  1.000000
-17.000000	  0.000005	 -0.109090	 -0.422570	  0.063743	  0.000002	  0.000003	 -0.372211	  0.227870	  1.000000
-16.750000	  0.000005	 -0.107879	 -0.417003	  0.062636	  0.000002	  0.000003	 -0.368220	  0.223481	  1.000000
-16.500000	  0.000005	 -0.106347	 -0.409157	  0.061355	  0.000002	  0.000003	 -0.362104	  0.218174	  1.000000
-16.250000	  0.000005	 -0.105116	 -0.403230	  0.060281	  0.000002	  0.000004	 -0.357707	  0.213752	  1.000000
-16.000000	  0.000005	 -0.103851	 -0.397352	  0.059210	  0.000002	  0.000004	 -0.353334	  0.209353	  1.000000
-15.750000	  0.000005	 -0.102466	 -0.391762	  0.058132	  0.000002	  0.000004	 -0.349240	  0.204959	  1.000000
-15.499999	  0.000005	 -0.100867	 -0.386646	  0.057006	  0.000002	  0.000004	 -0.345629	  0.200525	  1.000000
-15.250001	  0.000005	 -0.098850	 -0.382454	  0.055743	  0.000002	  0.000004	 -0.342986	  0.195966	  1.000000
-15.000001	  0.000005	 -0.096755	 -0.378446	  0.054461	  0.000002	  0.000004	 -0.340509	  0.191408	  1.000000
-14.750000	  0.000005	 -0.094630	 -0.374496	  0.053178	  0.000002	  0.000004	 -0.338061	  0.186859	  1.000000
-14.500000	  0.000005	 -0.092404	 -0.370790	  0.051901	  0.000002	  0.000004	 -0.335844	  0.182299	  1.000000
-14.250000	  0.000005	 -0.090179	 -0.367212	  0.050657	  0.000002	  0.000004	 -0.333715	  0.177795	  1.000000
-14.000000	  0.000005	 -0.088002	 -0.363927	  0.049506	  0.000002	  0.000004	 -0.331827	  0.173430	  1.000000
-13.750000	  0.000005	 -0.085740	 -0.361260	  0.048555	  0.000002	  0.000004	 -0.330528	  0.169150	  1.000000
-13.500000	  0.000005	 -0.083276	 -0.359618	  0.048453	  0.000002	  0.000004	 -0.330242	  0.164926	  1.000000
-13.250000	  0.000005	 -0.080232	 -0.360024	  0.048843	  0.000002	  0.000004	 -0.332051	  0.160614	  1.000000
-13.000000	  0.000005	 -0.077748	 -0.358951	  0.048524	  0.000002	  0.000004	 -0.332262	  0.156501	  1.000000
-12.750000	  0.000005	 -0.075141	 -0.356373	  0.047333	  0.000002	  0.000004	 -0.331002	  0.151939	  1.000000
-12.500000	  0.000005	 -0.071809	 -0.353147	  0.045670	  0.000002	  0.000004	 -0.329234	  0.146542	  0.000000
-12.250000	  0.000005	 -0.068220	 -0.350638	  0.043996	  0.000002	  0.000004	 -0.328179	  0.141064	  0.000000
