Aerodynamic Coefficients for Q400 Fixed Wing UAV

Cruise speed: 15.00 m/s
Altitude: 0.00 m
Notes:
*Reference area and reference length equal to 1.0
*Control surfaces in neutral (untrimmed) positions
*Hinges and actuators in neutral position
*Non-potential-flow solutions do not account for induced flows, significantly over-estimating performance

Angle of Attack [deg]	CFx	CFy	CFz	CMx	CMy	CMz	Cl	Cd	Potential Flow Solution? (0=No, 1=Yes)
-25.000000	 -0.000000	 -0.056318	 -1.184567	  0.337367	 -0.000014	  0.000150	 -1.049781	  0.551661	  1.000000
-24.750000	 -0.000000	 -0.061051	 -1.162437	  0.332872	 -0.000015	  0.000150	 -1.030099	  0.542109	  1.000000
-24.500000	 -0.000000	 -0.065666	 -1.140360	  0.328377	 -0.000016	  0.000150	 -1.010452	  0.532653	  1.000000
-24.250000	  0.000000	 -0.070161	 -1.118338	  0.323881	 -0.000017	  0.000150	 -0.990842	  0.523292	  1.000000
-24.000000	  0.000000	 -0.074543	 -1.096385	  0.319379	 -0.000017	  0.000150	 -0.971278	  0.514039	  1.000000
-23.750000	  0.000000	 -0.078807	 -1.074486	  0.314868	 -0.000018	  0.000150	 -0.951750	  0.504879	  1.000000
-23.500000	  0.000000	 -0.082955	 -1.052656	  0.310358	 -0.000019	  0.000150	 -0.932271	  0.495821	  1.000000
-23.250000	  0.000000	 -0.086986	 -1.030897	  0.305847	 -0.000020	  0.000149	 -0.912842	  0.486862	  1.000000
-23.000000	  0.000000	 -0.090899	 -1.009212	  0.301335	 -0.000020	  0.000149	 -0.893467	  0.478004	  1.000000
-22.750000	  0.000000	 -0.094689	 -0.987582	  0.296821	 -0.000021	  0.000149	 -0.874132	  0.469231	  1.000000
-22.500000	  0.000000	 -0.098363	 -0.966039	  0.292308	 -0.000022	  0.000149	 -0.854861	  0.460562	  1.000000
-22.250000	 -0.000000	 -0.101960	 -0.944703	  0.287758	 -0.000023	  0.000149	 -0.835754	  0.452078	  1.000000
-22.000000	 -0.000000	 -0.105445	 -0.923482	  0.283194	 -0.000023	  0.000149	 -0.816737	  0.443709	  1.000000
-21.750000	  0.000000	 -0.108833	 -0.902446	  0.278561	 -0.000024	  0.000149	 -0.797872	  0.435493	  1.000000
-21.500000	  0.000000	 -0.112091	 -0.881467	  0.273884	 -0.000025	  0.000149	 -0.779051	  0.427350	  1.000000
-21.250000	 -0.000000	 -0.115217	 -0.860531	  0.269172	 -0.000025	  0.000149	 -0.760262	  0.419272	  1.000000
-21.000000	 -0.000000	 -0.118252	 -0.839839	  0.264371	 -0.000026	  0.000149	 -0.741680	  0.411369	  1.000000
-20.750000	 -0.000000	 -0.121310	 -0.819878	  0.259258	 -0.000027	  0.000149	 -0.723718	  0.403917	  1.000000
-20.500000	  0.000000	 -0.124337	 -0.800344	  0.253957	 -0.000027	  0.000149	 -0.706116	  0.396749	  1.000000
-20.250000	  0.000000	 -0.127264	 -0.780876	  0.248625	 -0.000028	  0.000149	 -0.688563	  0.389672	  1.000000
-20.000000	  0.000000	 -0.130072	 -0.761470	  0.243262	 -0.000029	  0.000148	 -0.671061	  0.382665	  1.000000
-19.750000	  0.000000	 -0.132754	 -0.742112	  0.237872	 -0.000030	  0.000148	 -0.653598	  0.375717	  1.000000
-19.500000	 -0.000000	 -0.135363	 -0.722948	  0.232406	 -0.000030	  0.000148	 -0.636295	  0.368924	  1.000000
-19.250000	 -0.000000	 -0.137999	 -0.704264	  0.226736	 -0.000031	  0.000148	 -0.619391	  0.362473	  1.000000
-19.000000	 -0.000000	 -0.140548	 -0.685682	  0.221029	 -0.000031	  0.000148	 -0.602567	  0.356127	  1.000000
-18.750000	 -0.000000	 -0.143007	 -0.667086	  0.215337	 -0.000032	  0.000148	 -0.585716	  0.349845	  1.000000
