Aerodynamic Coefficients for Q400 VTOL UAV

Cruise speed: 15.00 m/s
Altitude: 0.00 m
Notes:
*Reference area and reference length equal to 1.0
*Control surfaces in neutral (untrimmed) positions
*Hinges and actuators in neutral position
*Non-potential-flow solutions do not account for induced flows, significantly over-estimating performance

Angle of Attack [deg]	CFx	CFy	CFz	CMx	CMy	CMz	Cl	Cd	Potential Flow Solution? (0=No, 1=Yes)
-25.000000	 -0.000000	 -0.053483	 -1.185750	  0.311334	 -0.000019	  0.000163	 -1.052052	  0.549592	  1.000000
-24.750000	  0.000000	 -0.058252	 -1.163391	  0.307268	 -0.000020	  0.000163	 -1.032138	  0.539966	  1.000000
-24.500000	  0.000000	 -0.062902	 -1.141085	  0.303195	 -0.000021	  0.000163	 -1.012258	  0.530439	  1.000000
-24.250000	  0.000000	 -0.067432	 -1.118837	  0.299117	 -0.000021	  0.000163	 -0.992418	  0.521010	  1.000000
-24.000000	  0.000000	 -0.071849	 -1.096665	  0.295033	 -0.000022	  0.000163	 -0.972630	  0.511691	  1.000000
-23.750000	  0.000000	 -0.076147	 -1.074555	  0.290944	 -0.000023	  0.000163	 -0.952884	  0.502471	  1.000000
-23.500000	  0.000000	 -0.080328	 -1.052517	  0.286851	 -0.000024	  0.000163	 -0.933190	  0.493355	  1.000000
-23.250000	  0.000000	 -0.084391	 -1.030551	  0.282752	 -0.000025	  0.000163	 -0.913548	  0.484342	  1.000000
-23.000000	 -0.000000	 -0.088338	 -1.008660	  0.278645	 -0.000025	  0.000163	 -0.893960	  0.475431	  1.000000
-22.750000	 -0.000000	 -0.092161	 -0.986828	  0.274531	 -0.000026	  0.000163	 -0.874414	  0.466608	  1.000000
-22.500000	  0.000000	 -0.095880	 -0.965080	  0.270414	 -0.000027	  0.000163	 -0.854926	  0.457901	  1.000000
-22.250000	 -0.000000	 -0.099527	 -0.943542	  0.266255	 -0.000028	  0.000163	 -0.835600	  0.449387	  1.000000
-22.000000	  0.000000	 -0.103058	 -0.922119	  0.262076	 -0.000028	  0.000163	 -0.816368	  0.440985	  1.000000
-21.750000	  0.000000	 -0.106482	 -0.900889	  0.257821	 -0.000029	  0.000163	 -0.797296	  0.432732	  1.000000
-21.500000	 -0.000000	 -0.109768	 -0.879719	  0.253516	 -0.000030	  0.000163	 -0.778276	  0.424548	  1.000000
-21.250000	 -0.000000	 -0.112913	 -0.858596	  0.249169	 -0.000030	  0.000163	 -0.759294	  0.416423	  1.000000
-21.000000	  0.000000	 -0.115968	 -0.837725	  0.244726	 -0.000031	  0.000162	 -0.740524	  0.408479	  1.000000
-20.750000	 -0.000000	 -0.119063	 -0.817581	  0.239961	 -0.000032	  0.000162	 -0.722366	  0.401002	  1.000000
-20.500000	 -0.000000	 -0.122128	 -0.797855	  0.235006	 -0.000033	  0.000162	 -0.704558	  0.393809	  1.000000
-20.250000	  0.000000	 -0.125080	 -0.778192	  0.229997	 -0.000033	  0.000162	 -0.686801	  0.386694	  1.000000
-20.000000	  0.000000	 -0.127913	 -0.758582	  0.224938	 -0.000034	  0.000162	 -0.669086	  0.379649	  1.000000
-19.750000	  0.000000	 -0.130620	 -0.739023	  0.219846	 -0.000035	  0.000162	 -0.651412	  0.372664	  1.000000
-19.500000	 -0.000000	 -0.133254	 -0.719661	  0.214673	 -0.000035	  0.000162	 -0.633901	  0.365839	  1.000000
-19.250000	 -0.000000	 -0.135934	 -0.700777	  0.209294	 -0.000036	  0.000162	 -0.616780	  0.359373	  1.000000
-19.000000	 -0.000000	 -0.138545	 -0.681988	  0.203878	 -0.000036	  0.000162	 -0.599726	  0.353030	  1.000000
